Fecha,Ciudad,Sistema,Pasajeros_dia,Variacion_Transmilenio,Pasajeros_dia_tipico_laboral,Pasajeros_dia_sabado,Pasajeros_dia_festivo,Dia_Semana
16/03/2020,Bogotá,TRANSMILENIO/SITP,3020938,"-0,217385943",3860061,2499019,1188607,1
17/03/2020,Bogotá,TRANSMILENIO/SITP,2637563,"-0,316704322",3860061,2499019,1188607,2
18/03/2020,Bogotá,TRANSMILENIO/SITP,2382931,"-0,382670118",3860061,2499019,1188607,3
19/03/2020,Bogotá,TRANSMILENIO/SITP,2223115,"-0,424072573",3860061,2499019,1188607,4
20/03/2020,Bogotá,TRANSMILENIO/SITP,511354,"-0,867526964",3860061,2499019,1188607,5
21/03/2020,Bogotá,TRANSMILENIO/SITP,378217,"-0,848653812",3860061,2499019,1188607,6
22/03/2020,Bogotá,TRANSMILENIO/SITP,255430,"-0,785101383",3860061,2499019,1188607,7
23/03/2020,Bogotá,TRANSMILENIO/SITP,302413,"-0,921655901",3860061,2499019,1188607,1
24/03/2020,Bogotá,TRANSMILENIO/SITP,1082000,"-0,719693549",3860061,2499019,1188607,2
25/03/2020,Bogotá,TRANSMILENIO/SITP,624302,"-0,838266286",3860061,2499019,1188607,3
26/03/2020,Bogotá,TRANSMILENIO/SITP,616422,"-0,840307705",3860061,2499019,1188607,4
27/03/2020,Bogotá,TRANSMILENIO/SITP,595602,"-0,845701402",3860061,2499019,1188607,5
28/03/2020,Bogotá,TRANSMILENIO/SITP,463284,"-0,814613654",3860061,2499019,1188607,6
29/03/2020,Bogotá,TRANSMILENIO/SITP,242311,"-0,796138673",3860061,2499019,1188607,7
30/03/2020,Bogotá,TRANSMILENIO/SITP,641943,"-0,833696151",3860061,2499019,1188607,1
31/03/2020,Bogotá,TRANSMILENIO/SITP,625313,"-0,838004374",3860061,2499019,1188607,2
01/04/2020,Bogotá,TRANSMILENIO/SITP,668539,"-0,826806105",3860061,2499019,1188607,3
02/04/2020,Bogotá,TRANSMILENIO/SITP,657300,"-0,829717717",3860061,2499019,1188607,4
03/04/2020,Bogotá,TRANSMILENIO/SITP,654132,"-0,830538429",3860061,2499019,1188607,5
04/04/2020,Bogotá,TRANSMILENIO/SITP,493786,"-0,802408065",3860061,2499019,1188607,6
05/04/2020,Bogotá,TRANSMILENIO/SITP,256735,"-0,78400346",3860061,2499019,1188607,7
06/04/2020,Bogotá,TRANSMILENIO/SITP,680940,"-0,823593461",3860061,2499019,1188607,1
07/04/2020,Bogotá,TRANSMILENIO/SITP,610591,"-0,841818303",3860061,2499019,1188607,2
08/04/2020,Bogotá,TRANSMILENIO/SITP,675671,"-0,824958466",3860061,2499019,1188607,3
